file,source,types,misc
7ZIP+JAR.7z,,7z jar zip,
7ZIP+RAR-1.7z,,7z rar,
7ZIP+RAR-2.7z,,7z rar,The rar is embed in the 7Z without compression
7ZIP+ZIP.7z,,7z zip,
AVI+HTML.avi,,avi html,
AVI+ZIP.avi,,avi zip,
BMP+HTML+JAR.bmp,,bmp html jar zip,
BMP+JAR.bmp,,bmp jar zip,
DOCX+ELF+JAR+PDF+RAR-1.zip,,docx elf jar pdf rar zip,"RAR after ZIP. Only work with Microsoft Word, asks to repair the file"
DOCX+ELF+JAR+PDF+RAR-2.zip,,docx elf jar pdf rar zip,"ZIP after RAR. Only work with Microsoft Word, asks to repair the file"
DOCX+ELF+JAR+PDF.zip,,docx elf jar pdf zip,"Only work with Microsoft Word, asks to repair the file"
DOCX+JAR+PDF.pdf,,docx jar pdf zip,
DOCX+JAR.docx,,docx jar zip,
ELF+JAR+ODT+PDF.zip,,elf jar odt pdf zip,"Only work with Microsoft Word, asks to repair the file"
ELF+RAR.rar,,elf rar,
ELF+RAR5.rar,,elf rar,
ELF+JAR+RAR.rar,,elf jar rar zip,
EXE+HTML+PDF-1.pdf,,exe html pdf,"Minimal, 1 byte aligned PE"
EXE+HTML+PDF-2.pdf,,exe html pdf,
FLAC+PDF.flac,,flac pdf,
GIF+JAR+PDF.gif,,gif jar pdf zip,
GIF+JAR.gif,,gif jar zip,
GIF+JS-1.gif,,gif js,
GIF+JS-2.gif,,gif js,
GIF+PDF.gif,,gif pdf,
GIF+TAR.gif,,gif tar,
HTML+MP3-1.mp3,,html mp3,
HTML+PDF-1.html,,html pdf,
HTML+PDF-2.html,,html pdf,"Only a <script> tag"
HTML+PDF-3.html,,html pdf,"An image with a script running on mouse over"
HTML+TIFF.tiff,,html tiff,
HTML+WEBM.html,,html webm,
JAR+JPG+PDF.jpg,,jar jpg pdf zip,
JAR+ODT+PDF.pdf,,jar odt pdf zip,"PDF doesn't work with evince nor google chrome, works with firefox"
JAR+TAR+TIFF.tiff,,jar tar tiff zip,
JAR+TIFF.tiff,,jar tiff zip,
JPG+JAR.jpg,,jpg jar zip,
JPG+PDF.jpg,,jpg pdf,
MP3+OGG+PNG.mp3,,mp3 ogg png,
MP3+OGG+PNG+WAV.mp3,,mp3 ogg png wav,
MP3+PDF.pdf,,mp3 pdf,
MP3+PNG.mp3,,mp3 png,
MP3+TIFF.tiff,,mp3 tiff,
MP3+ZIP.zip,,mp3 zip,
MP4+JAR.mp4,,mp4 jar zip,
neszip-example.nes,https://vigrey.com/blog/this-nes-rom-also-zip-file,zip nes,
no-magic-nor-end.pdf,,pdf,"Works on Evince 3.28.2, Atril 1.20.1 and Firefox 61.0.1"
no-magic.pdf,,pdf,"Works on Evince 3.28.2, Atril 1.20.1 and Firefox 61.0.1"
ODT+JAR.odt,,jar odt zip,The reader may ask to repair the file
OGG+PDF.ogg,,ogg pdf,
OGG+ZIP.ogg,,ogg zip,
PDF+ELF-1.pdf,,pdf elf,x86-64 Linux ELF64
PDF+ELF-2.pdf,,pdf elf,x86-64 Linux ELF64
PDF+ELF-3.pdf,,pdf elf,x86-64 Linux ELF64
PDF+ELF-4.pdf,,pdf elf,x86-64 Linux ELF64
PDF+PHP.pdf,,pdf php,
PDF+TAR.pdf,,pdf tar,
PDF+TAR-2.pdf,,pdf tar,"Works on Evince 3.28.2, Atril 1.20.1 and Firefox 61.0.1"
PDF+WAV.pdf,,pdf wav,
PDF+WAV-2.pdf,,pdf wav,"Works on Evince 3.28.2, Atril 1.20.1. Blank on Firefox 61.0.1"
PDFGitPolyglot.pdf,pocorgtfo15.pdf,pdf gitbundle,
PNG+JAR.png,,png jar zip,
pocorgtfo01.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip,
pocorgtfo02.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip mbr,
pocorgtfo03.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip jpg afsk,
pocorgtfo04.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip tc,
pocorgtfo05.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf swf zip iso,
pocorgtfo06.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip tar,
pocorgtfo07.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip bpg html,
pocorgtfo08.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip sh,
pocorgtfo09.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip wv,
pocorgtfo10.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip lsmv,
pocorgtfo11.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip html rb,
pocorgtfo12.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip apk,
pocorgtfo13.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip ps,
pocorgtfo14.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip nes,
pocorgtfo15.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip ild,
pocorgtfo16.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip sh,
pocorgtfo17.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip agc,
pocorgtfo18.pdf,https://www.alchemistowl.org/pocorgtfo/,pdf zip html,
RAR+ZIP-1.rar,,rar zip,
RAR+ZIP-2.rar,,rar zip,
RAR+ZIP-3.rar,,rar zip,"No ENDARC for the RAR, may crash in some software. For instance, works with Linux unrar"
RAR5+ZIP-1.rar5,,rar zip,
RAR5+ZIP-2.rar5,,rar zip,
RAR5+ZIP-3.rar5,,rar zip,"No ENDARC for the RAR, may crash in some software. For instance, works with Linux unrar"
resume_iso.pdf,https://r.dakko.us/,pdf mbr,
reverseme.bin,https://www.alchemistowl.org/pocorgtfo/pocorgtfo04.pdf,jpg pdf zip,
security_logo_string.jpg,http://thomasjaehnel.com/blog/2009/11/attacks-based-on-content-sniffing.html,html png,
stegosploit_tool.png,http://stegosploit.info/,png html,
SWF+ZIP-1.swf,,swf zip,CWS format
SWF+ZIP-2.swf,,swf zip,ZWS format
TAR+TIFF.tiff,,tiff tar,
TIFF+JAR+RAR-1.tiff,,tiff jar rar zip,Payload in a valid TIFF tag
TIFF+JAR-1.tiff,,tiff jar zip,Payload in a valid TIFF tag
TIFF+PDF-1.tiff,,tiff pdf,
TIFF+PDF-2.tiff,,tiff pdf,Do not work with Google chrome.
TIFF+RAR+ZIP.tiff,,tiff rar zip,Payload in a valid TIFF tag
TIFF+RAR-1.tiff,,tiff rar,Payload in a valid TIFF tag
TIFF+ZIP-1.tiff,,tiff zip,Payload in a valid TIFF tag
WAV+ZIP.zip,,wav zip,
WEBM+ZIP.webm,,webm zip,
